cofID	FEATURE	Cluster_size	Number_all_TTA_genes	Number FS-TTA-genes	TTA_peak num_TTA	TTA_peak ali_coord	threshold	p_value_min
1000423	hypothetical protein	9	9	0	9	73	0.004901961	0.006395798
1000227	pdz domain-containing protein	9	9	0	9	595	0.002880184	0.002309864
1000196	duf742 domain-containing protein	9	9	0	9	49	0.009541985	0.1031408
1000188	hypothetical protein	12	12	0	9	1105	0.001876877	0.000221763
1001546	hnh endonuclease	11	11	0	8	127	0.007961783	0.00195777
1001424	nudix hydrolase	8	8	0	8	499	0.006578947	0.00226932
1001206	bifunctional diguanylate cyclase/phosphodiesterase	14	14	0	8	1597	0.001344086	0.00127434
1000672	atp-dependent dna helicase uvrd2	8	8	0	8	100	0.001506024	2.46E-07
1000415	llm class flavin-dependent oxidoreductase	8	8	0	8	181	0.003424658	0.003713358
1000205	phosphatase	14	14	0	8	1123	0.00232342	0.002606245
1001412	xre family transcriptional regulator	15	15	2	7	79	0.004280822	0.002646233
1001339	helix-turn-helix transcriptional regulator	12	12	2	7	595	0.000860882	0.01260273
1001243	hypothetical protein	10	10	0	7	244	0.006793478	0.01775482
1000698	hypothetical protein	7	7	0	7	1231	0.002808989	0.02275773
1000570	hypothetical protein	7	7	0	7	601	0.002771619	0.01040794
1000546	hypothetical protein	8	8	0	7	625	0.002699784	0.002725025
1000497	is630 family transposase	7	7	0	7	460	0.003188776	0.000511321
1000494	isl3 family transposase	16	16	0	7	511	0.001934985	0.03094859
1000309	duf742 domain-containing protein	7	7	0	7	52	0.009765625	0.05390164
1000303	lysr family transcriptional regulator	11	11	0	7	268	0.004125413	0.004212696
1000282	pas domain s-box protein	12	12	0	7	1108	0.002403846	0.00026769
1000268	isl3 family transposase	17	17	0	7	394	0.0021777	0.01139963
1001111	duf4360 domain-containing protein	6	6	0	6	40	0.005580357	0.01933713
1000721	duf742 domain-containing protein	9	9	0	6	211	0.008064516	0.001385249
1000496	dehydrogenase	11	11	0	6	316	0.003581662	0.001084534
1000431	duf742 domain-containing protein	6	6	0	6	52	0.009689922	0.05549913
1000424	hypothetical protein	12	12	0	6	526	0.004448399	0.001032633
1000397	duf742 domain-containing protein	6	6	0	6	271	0.00984252	0.03774817
1000396	plasmid transfer protein	21	21	0	6	181	0.002431907	0.002405304
1000387	hypothetical protein	11	11	0	6	394	0.004464286	0.003555087
1000368	hypothetical protein	6	6	0	6	229	0.004180602	0.02138054
1000304	ion transporter	7	7	0	6	193	0.003405995	0.01739407
1000263	duf742 domain-containing protein	6	6	0	6	46	0.009765625	0.02652341
1000214	hypothetical protein	8	8	0	6	115	0.009191176	0.04339842
1000204	hypothetical protein	6	6	0	6	514	0.002771619	0.002156642
1000078	transposase	15	15	8	6	121	0.006944444	0.000220164
1000026	dehydrogenase	7	7	1	6	1177	0.002319109	0.002332999
1000002	class i sam-dependent methyltransferase	6	6	0	6	43	0.005506608	0.002046583
1001553	hypothetical protein	5	5	0	5	91	0.0152439	0.0340591
1001547	hypothetical protein	5	5	0	5	91	0.0152439	0.4988997
1001543	hypothetical protein	6	6	0	5	133	0.01237624	0.01485457
1001491	hypothetical protein	97	97	5	5	1567;3313	0.000526759	0.000384919
1001460	arac family transcriptional regulator	20	20	1	5	562	0.002147766	0.001084056
1001418	hypothetical protein	9	9	0	5	226	0.002880184	0.02326414
1001221	alpha-l-arabinofuranosidase	6	6	0	5	40	0.00254065	0.0123466
1001181	is1182 family transposase	8	8	0	5	1015	0.002362949	0.01475308
1000808	is1182 family transposase	10	10	0	5	1015;916	0.002362949	0.002696061
1000725	atp-binding protein	10	10	0	5	460	0.005580357	0.002345713
1000713	hypothetical protein	8	8	0	5	361	0.00376506	0.003336707
1000662	duf742 domain-containing protein	5	5	0	5	226	0.007911392	0.000743535
1000581	a-factor biosynthesis protein	9	9	0	5	220	0.00349162	0.05088496
1000565	hypothetical protein	27	27	1	5	919	0.002059308	6.67E-05
1000556	hypothetical protein	7	7	0	5	307	0.004084967	0.03747424
1000505	hypothetical protein	5	5	0	5	73	0.005411255	0.004535421
1000495	transposase	9	9	0	5	523	0.003799392	0.02429285
1000476	hypothetical protein	5	5	0	5	79	0.005952381	0.01244649
1000452	nucleotide sugar dehydrogenase	6	6	0	5	190	0.002834467	0.000869545
1000413	hypothetical protein	5	5	0	5	130	0.007102273	0.03456625
1000367	mfs transporter	6	6	0	5	211	0.0029274	0.04873778
1000320	hypothetical protein	5	5	0	5	1231	0.002808989	0.002934479
1000306	hypothetical protein	13	13	0	5	175	0.009191176	0.04652738
1000285	dna-binding response regulator	20	20	0	5	511	0.003943218	0.000375489
1000265	hypothetical protein	7	7	0	5	331	0.006613757	0.01984112
1000250	dna-binding response regulator	16	16	0	5	487	0.005813953	0.000663252
1000229	dehydrogenase	6	6	0	5	1012	0.002648305	0.000700237
1000158	conjugal transfer protein tras	26	26	0	5	145	0.002059308	6.67E-05
1000094	nucleotide sugar dehydrogenase	6	6	1	5	190	0.002834467	0.007914817
1000015	transposase	12	12	5	5	229	0.003180662	0.000611248
1001545	hypothetical protein	4	4	0	4	1531	0.00216263	0.1767002
1001542	dpra-like dna processing chain a	4	4	0	4	55	0.003687316	0.05160789
1001541	peptidase	4	4	0	4	58	0.007911392	0.01938636
1001538	hypothetical protein	4	4	0	4	199	0.01388889	0.4989701
1001530	glycosyltransferase family 2 protein	5	5	0	4	43	0.004340278	0.005698706
1001522	hypothetical protein	129	129	7	4	2176;3010;739	0.000537866	1.52E-05
1001514	tetr/acrr family transcriptional regulator	5	5	0	4	517	0.004664179	0.02273426
1001508	xre family transcriptional regulator	20	20	2	4	532	0.003834356	0.001071212
1001502	xre family transcriptional regulator	7	7	0	4	226	0.002880184	0.05921058
1001490	protein tyrosine kinase	4	4	0	4	457	0.001091703	0.006361497
1001458	atp-binding protein	11	11	0	4	214	0.006868132	0.00850197
1001320	is701 family transposase	11	11	2	4	43;901	0.002808989	0.001104338
1001110	hypothetical protein	5	5	0	4	391	0.001445087	0.001117653
1001030	multidrug mfs transporter	6	6	0	4	889	0.003434066	0.02512926
1001026	aminotransferase	4	4	0	4	103	0.001937984	8.45E-05
1000950	lysr family transcriptional regulator	9	9	0	4	265	0.003930818	0.002630976
1000930	aminodeoxychorismate synthase component i	4	4	0	4	1750	0.00147232	0.000577262
1000918	hypothetical protein	5	5	0	4	112	0.009328358	0.008844969
1000880	laci family transcriptional regulator	4	4	0	4	760	0.003351206	0.000994095
1000871	atp-binding protein	4	4	0	4	76	0.002066116	0.0184356
1000857	glycogen synthase	4	4	0	4	85	0.003196931	0.01653149
1000848	luxr family transcriptional regulator	5	5	0	4	247	0.003481894	0.02833471
1000816	llm class flavin-dependent oxidoreductase	5	5	0	4	181	0.003591954	0.005126615
1000741	glucose-1-phosphate thymidylyltransferase	4	4	0	4	40	0.003472222	0.009188879
1000712	gmc family oxidoreductase	5	5	0	4	220	0.002144082	0.02746219
1000687	duf4360 domain-containing protein	4	4	0	4	40	0.005707763	0.01556251
1000676	xre family transcriptional regulator	24	24	1	4	496	0.00376506	0.02956122
1000664	hypothetical protein	7	7	0	4	127	0.008741259	0.08465433
1000628	peptidoglycan-binding protein	5	5	1	4	64	0.003894081	0.00667647
1000587	peroxidase	4	4	0	4	526	0.003132832	0.01103427
1000560	hypothetical protein	4	4	0	4	601	0.001614987	0.007549353
1000504	serine integrase	10	10	0	4	97	0.002302026	0.002680495
1000443	alpha-l-arabinofuranosidase	4	4	0	4	40	0.002556237	0.02527266
1000437	integrase	9	9	0	4	1042;223	0.003246753	0.0509175
1000399	is5 family transposase	10	10	0	4	76	0.003834356	0.05084915
1000383	dna-protecting protein dpra	5	5	0	4	715	0.0029274	0.03987433
1000353	hypothetical protein	4	4	0	4	220	0.008561644	0.04513923
1000352	mfs transporter	9	9	0	4	196	0.002598753	0.001903818
1000349	hypothetical protein	5	5	0	4	499	0.003434066	0.02110145
1000344	hypothetical protein	26	26	2	4	676	0.000509996	1.60E-05
1000290	hypothetical protein	4	4	0	4	115	0.008012821	0.02009608
1000279	is110 family transposase	8	8	0	4	382	0.002969121	0.007473558
1000272	long-chain fatty acid--coa ligase	4	4	0	4	130	0.002470356	0.004807551
1000271	dehydrogenase	5	5	0	4	301	0.003633721	0.03442349
1000253	hypothetical protein	4	4	0	4	85	0.005787037	0.1409139
1000246	hypothetical protein	27	27	0	4	124;166	0.003731343	0.008658558
1000230	n-acetylmuramoyl-l-alanine amidase	5	5	0	4	79	0.00625	0.08702579
1000210	atp-binding protein	6	6	0	4	175	0.002934272	0.007198669
1000208	hypothetical protein	8	8	0	4	1045	0.001937984	0.003933528
1000199	atp-binding protein	13	13	0	4	400	0.005656109	3.94E-06
1000198	hypothetical protein	12	12	0	4	55	0.003846154	0.004980869
1000174	is630 family transposase	5	5	0	4	442	0.003263708	0.01590933
1000151	hypothetical protein	5	5	1	4	64	0.006097561	0.03180419
1000138	dde endonuclease	20	20	4	4	937	0.003511236	0.00270946
1000114	hypothetical protein	7	7	1	4	115	0.008445946	0.01555299
1000108	multidrug mfs transporter	8	8	1	4	889	0.003443526	0.000232987
1000064	tigr00645 family protein	5	5	1	4	178	0.00254065	0.01700997
1000046	is5 family transposase	10	10	1	4	319	0.004251701	0.02989977
1001562	hypothetical protein	3	3	0	3	274	0.006510417	0.01936677
1001558	mazg-like nucleotide pyrophosphohydrolase	3	3	0	3	277	0.01077586	0.3194606
1001557	hypothetical protein	3	3	0	3	58	0.008741259	0.499023
1001554	hypothetical protein	3	3	0	3	76	0.009615385	0.4989585
1001552	methyltransferase	3	3	0	3	511	0.004770992	0.2763283
1001551	dna primase	3	3	0	3	634	0.00349162	0.3963829
1001550	dnae-like dna polymerase iii (alpha)	3	3	0	3	103	0.006793478	0.4989701
1001540	hypothetical protein	3	3	0	3	82	0.01373626	0.499023
1001537	hypothetical protein	3	3	0	3	229	0.007102273	0.04510845
1001533	serine integrase	3	3	0	3	181	0.002648305	0.001795649
1001527	isl3 family transposase	5	5	0	3	775	0.002196837	0.01056024
1001525	dna polymerase iv	3	3	0	3	1360	0.002475248	0.006159576
1001506	triacylglycerol lipase	3	3	0	3	40	0.003799392	0.008326609
1001500	non-ribosomal peptide synthetase	36	36	5	3	21187	9.68E-05	2.98E-05
1001497	lantibiotic dehydratase	5	5	0	3	481	0.001182592	0.0527255
1001485	cellulose 1,4-beta-cellobiosidase	4	4	0	3	43	0.001284687	0.000622966
1001466	exo-alpha-sialidase	3	3	0	3	220	0.003306878	0.0256403
1001411	atp-binding protein	3	3	0	3	70	0.006127451	0.04982752
1001410	dna-binding response regulator	3	3	0	3	76	0.004770992	0.09786092
1001403	hypothetical protein	3	3	0	3	127	0.008503401	0.4989701
1001402	duf4232 domain-containing protein	3	3	0	3	73	0.004882812	0.01874887
1001395	cellobiohydrolase	3	3	0	3	364	0.002688172	0.01160564
1001375	xre family transcriptional regulator	7	7	0	3	67	0.00267666	0.05112675
1001362	hydrolase	9	9	1	3	676	0.001937984	0.04402418
1001322	protein phosphatase	6	6	0	3	1381	0.001465416	0.004271642
1001311	mfs transporter	12	12	0	3	196;286	0.002019386	0.03718287
1001286	adenylosuccinate lyase	4	4	0	3	34	0.00529661	0.02422962
1001283	thif family adenylyltransferase	5	5	0	3	160	0.002729258	0.01788082
1001279	arsr family transcriptional regulator	18	18	0	3	85	0.002620545	0.000661812
1001276	serine/threonine protein kinase	13	13	3	3	955	0.001406074	0.004713448
1001260	restriction endonuclease	4	4	0	3	364	0.002260398	0.02730978
1001244	3-oxosteroid 1-dehydrogenase	3	3	0	3	127	0.002093802	0.001415394
1001226	atp-binding protein	3	3	0	3	52	0.008741259	0.007136709
1001201	duf998 domain-containing protein	3	3	0	3	169	0.005102041	0.007394128
1001179	alpha-l-glutamate ligase	3	3	0	3	172	0.003687316	0.02889581
1001167	glycosyl transferase	3	3	0	3	583	0.003342246	0.000342279
1001152	hypothetical protein	3	3	0	3	37	0.004237288	0.04239228
1001144	hydrolase	3	3	0	3	502	0.002268603	0.02382477
1001133	peptidylprolyl isomerase	3	3	0	3	40	0.005186722	0.007560173
1001102	alpha-l-arabinofuranosidase	3	3	0	3	127	0.00262605	0.04172976
1001085	response regulator	3	3	0	3	166	0.003246753	0.006058416
1001042	antar domain-containing protein	3	3	0	3	91	0.004734848	0.03720673
1001029	endoglucanase	3	3	0	3	52	0.002431907	0.0029849
1001022	helix-turn-helix domain-containing protein	4	4	0	3	199	0.001518834	0.01705733
1001006	1,4-beta-xylanase	5	5	0	3	43	0.001677852	0.003832381
1001001	hypothetical protein	3	3	0	3	61	0.004448399	0.04800443
1001000	dna-protecting protein dpra	3	3	0	3	712	0.003004808	0.01948411
1000998	abc transporter atp-binding protein	4	4	0	3	316	0.004370629	0.0739331
1000963	hypothetical protein	3	3	0	3	76	0.01201923	0.03822163
1000961	sugar dehydrogenase	3	3	0	3	64	0.002403846	0.01247041
1000913	hypothetical protein	3	3	0	3	646	0.005387931	0.08638519
1000903	1-acyl-sn-glycerol-3-phosphate acyltransferase	3	3	0	3	40	0.005102041	0.006850531
1000872	dinb family protein	3	3	0	3	133	0.006830601	0.05800162
1000864	magnesium or manganese-dependent protein phosphatase	3	3	0	3	748	0.001675603	0.002292862
1000856	chad domain-containing protein	3	3	0	3	751	0.002983294	0.01465259
1000839	heparinase	3	3	0	3	1003	0.001888218	0.01556396
1000835	carbohydrate abc transporter substrate-binding protein	5	5	0	3	238	0.002566735	0.008686302
1000834	duf742 domain-containing protein	3	3	0	3	223	0.0101626	0.02192061
1000832	hypothetical protein	3	3	0	3	397	0.002729258	0.01962801
1000829	hypothetical protein	3	3	0	3	88	0.007225434	0.1087936
1000801	udp-n-acetylglucosamine 1-carboxyvinyltransferase	6	6	0	3	592;646	0.00282167	0.009371634
1000781	is630 family transposase	7	7	0	3	313;346	0.002790179	0.003050946
1000779	glycosyltransferase family 2 protein	3	3	0	3	43	0.004512635	0.01016141
1000777	xre family transcriptional regulator	4	4	0	3	61	0.002941176	0.004605862
1000775	hypothetical protein	3	3	0	3	559	0.006067961	0.02177607
1000757	sensor histidine kinase	3	3	0	3	79	0.002009646	0.01138812
1000752	duf899 domain-containing protein	3	3	0	3	55	0.005458515	0.0150481
1000745	hypothetical protein	4	4	0	3	292	0.000616979	0.01272747
1000737	zeta toxin family protein	3	3	0	3	727	0.002	0.06841459
1000735	hypothetical protein	3	3	0	3	214	0.002515091	0.004814926
1000732	abc transporter atp-binding protein	3	3	0	3	64	0.004208754	0.004098336
1000695	duf262 domain-containing protein	3	3	0	3	61	0.002066116	0.00856659
1000694	penicillin amidase	4	4	0	3	64	0.001526252	0.01497785
1000692	cysteine hydrolase	3	3	0	3	148	0.006684492	0.1063891
1000683	acyl-coa thioesterase	3	3	0	3	112	0.00862069	0.04234265
1000668	atp/gtp-binding protein	4	4	0	3	496	0.001594388	0.03367178
1000655	hypothetical protein	3	3	0	3	160	0.009765625	0.01225958
1000651	hypothetical protein	4	4	0	3	76	0.003665689	0.004903587
1000646	pas domain s-box protein	8	8	0	3	718;778	0.002319109	0.00061598
1000637	biotin transporter bioy	4	4	0	3	136	0.003012048	0.03356042
1000635	hypothetical protein	7	7	0	3	298	0.0017934	0.01363057
1000633	tetr/acrr family transcriptional regulator	3	3	0	3	409	0.006097561	0.022071
1000630	nad(p)/fad-dependent oxidoreductase	4	4	0	3	127	0.002990431	0.01351857
1000623	nacht domain-containing protein	6	6	0	3	211	0.001046901	0.002596663
1000622	hypothetical protein	9	9	0	3	445	0.00462963	0.002638218
1000609	hypothetical protein	3	3	0	3	226	0.007961783	0.05402158
1000608	3-oxoacyl-acp synthase	3	3	0	3	130	0.003687316	0.007083025
1000584	alpha/beta hydrolase	3	3	0	3	37	0.004194631	0.02308086
1000577	serine/threonine protein kinase	8	8	1	3	469	0.000979624	0.001241696
1000547	bifunctional diguanylate cyclase/phosphodiesterase	11	11	0	3	541;649	0.00136612	0.000844345
1000536	aminoglycoside phosphotransferase family protein	5	5	0	3	163	0.004045307	0.05946765
1000530	class e sortase	3	3	0	3	139	0.005208333	0.0456427
1000501	xaa-pro aminopeptidase	3	3	0	3	97	0.003676471	0.0283906
1000472	mfs transporter	4	4	0	3	304	0.002665245	0.01428452
1000449	amidohydrolase	7	7	0	3	628	0.003221649	0.01286195
1000446	trna synthetase	3	3	0	3	805	0.003369272	0.02458307
1000422	duf2617 domain-containing protein	7	7	0	3	142	0.006648936	0.02442651
1000414	aminoglycoside phosphotransferase family protein	4	4	0	3	163	0.004045307	0.01972023
1000409	pucr family transcriptional regulator	12	12	0	3	538	0.002880184	0.003300892
1000403	transposase	3	3	0	3	61	0.00232342	0.008071846
1000402	is4 family transposase	5	5	0	3	70	0.002224199	0.02621715
1000401	dna-binding response regulator	6	6	0	3	160	0.005186722	0.05695095
1000374	peptidase m48	3	3	0	3	331	0.001684636	0.008017508
1000366	hypothetical protein	3	3	0	3	43	0.004716981	0.005001786
1000355	glycoside hydrolase	3	3	0	3	58	0.0025	0.005045185
1000300	oxidoreductase	12	12	0	3	520	0.001965409	0.01980808
1000299	duf4365 domain-containing protein	3	3	0	3	274	0.00748503	0.01241332
1000296	acyltransferase	4	4	0	3	61	0.002808989	0.00873995
1000278	laci family transcriptional regulator	3	3	0	3	205	0.003698225	0.01526665
1000257	hypothetical protein	11	11	0	3	592	0.002297794	0.004548548
1000254	hypothetical protein	9	9	0	3	145	0.00748503	0.01176659
1000248	hypothetical protein	3	3	0	3	322	0.001412429	0.03903292
1000234	dna-binding response regulator	5	5	0	3	70	0.004716981	0.02573909
1000233	mfs transporter	8	8	0	3	160;217	0.002642706	0.009676073
1000216	hypothetical protein	3	3	0	3	448	0.00753012	0.03649977
1000213	atp-binding protein	3	3	0	3	112	0.008802817	0.1077333
1000206	penicillin-binding protein	6	6	0	3	325	0.002771619	0.002156642
1000201	hypothetical protein	3	3	0	3	40	0.004084967	0.007522046
1000187	xre family transcriptional regulator	22	22	0	3	358;502	0.003665689	4.71E-05
1000164	dna-binding response regulator	3	3	0	3	460	0.004752852	0.071762
1000149	integrase	8	8	1	3	214	0.003238342	0.007276605
1000126	abc transporter atp-binding protein	4	4	1	3	64	0.001940994	0.009708934
1000124	xre family transcriptional regulator	9	9	1	3	61;70	0.004401408	0.002884795
1000109	serine/threonine protein phosphatase	5	5	1	3	631	0.001721763	0.01140146
1000105	arsr family transcriptional regulator	7	7	1	3	97	0.003221649	0.001424156
1000102	transcriptional regulator	4	4	1	3	451	0.000865651	0.002006794
1000099	hybrid sensor histidine kinase/response regulator	4	4	1	3	343	0.000862664	0.002032871
1000096	hypothetical protein	4	4	1	3	931	0.0025	0.01372577
1000088	mfs transporter	5	5	1	3	82	0.002561475	0.002704627
1000081	ion transporter	5	5	1	3	199	0.003551136	0.05444491
1000025	non-ribosomal peptide synthetase	9	9	1	3	3487	0.000205288	0.003157655
1000011	duf742 domain-containing protein	4	4	1	3	265	0.01008065	0.1621321
1000008	dde endonuclease	7	7	4	3	475	0.005555556	0.007615964
1001563	hypothetical protein	2	2	0	2	181	0.01146789	0.4994204
1001561	hypothetical protein	2	2	0	2	88	0.01404494	0.4993907
1001560	hypothetical protein	2	2	0	2	208	0.007668712	0.4994359
1001559	parb-like nuclease domain protein	2	2	0	2	67	0.008561644	0.4993907
1001556	hypothetical protein	2	2	0	2	55;70	0.01666667	0.4994204
1001555	hypothetical protein	2	2	0	2	142	0.009191176	0.4993764
1001549	dpra-like dna processing chain a	4	4	0	2	265	0.007668712	0.001369456
1001539	hypothetical protein	2	2	0	2	40	0.01453488	0.3486444
1001536	hypothetical protein	2	2	0	2	244	0.0078125	0.3395703
1001535	minor tail protein	2	2	0	2	313	0.003324468	0.1883709
1001520	xre family transcriptional regulator	2	2	0	2	736	0.002090301	0.02089651
1001517	m23 family peptidase	3	3	0	2	403	0.003462604	0.01073046
1001516	peptidoglycan endopeptidase	2	2	0	2	49	0.003101737	0.1045618
1001513	1,4-beta-xylanase	5	5	0	2	46	0.001712329	0.002098133
1001511	atp-binding protein	2	2	0	2	223	0.006097561	0.06841662
1001510	alpha-mannosidase	2	2	0	2	220	0.001128159	0.02544274
1001509	xre family transcriptional regulator	9	9	1	2	358	0.00390625	0.001773573
1001503	tetratricopeptide repeat protein	6	6	0	2	1066;781	0.00078964	0.01825001
1001498	duf2236 domain-containing protein	2	2	0	2	46	0.003026634	0.06940311
1001495	xre family transcriptional regulator	2	2	0	2	559	0.003306878	0.07382978
1001486	is701 family transposase	10	10	2	2	121	0.002631579	0.02504977
1001484	kr domain-containing protein	5	5	0	2	18934	0.000127421	0.00962923
1001482	hypothetical protein	3	3	0	2	67	0.002107926	0.02217373
1001481	acetylhydrolase	4	4	0	2	193	0.00297619	0.04801502
1001479	is630 family transposase	2	2	0	2	235	0.003753754	0.4993801
1001476	hypothetical protein	10	10	0	2	832;883	0.001139471	0.002921676
1001473	hypothetical protein	2	2	0	2	37	0.00284738	0.1199023
1001472	atp-binding protein	2	2	0	2	316	0.008741259	0.1076989
1001471	hypothetical protein	2	2	0	2	265	0.004940711	0.0939535
1001470	hypothetical protein	2	2	0	2	289	0.00376506	0.09776412
1001469	hypothetical protein	2	2	0	2	85	0.006313131	0.1356247
1001468	hypothetical protein	2	2	0	2	121	0.005530973	0.0596815
1001467	hypothetical protein	2	2	0	2	46	0.005364807	0.174585
1001464	cdp-alcohol phosphatidyltransferase family protein	2	2	0	2	43	0.005434783	0.07172628
1001463	hypothetical protein	2	2	0	2	442	0.004528986	0.1284311
1001462	anti-sigma factor antagonist	2	2	0	2	271	0.0078125	0.09214539
1001461	rna polymerase	2	2	0	2	49	0.006944444	0.09992504
1001459	hypothetical protein	2	2	0	2	295	0.009541985	0.1141035
1001457	cytochrome p450	2	2	0	2	1435	0.0025	0.1122473
1001456	cytochrome p450	2	2	0	2	43	0.002385496	0.1196842
1001455	mfs transporter	16	16	0	2	196	0.002006421	0.02438736
1001454	cellobiohydrolase	2	2	0	2	46	0.003094059	0.1018089
1001453	hypothetical protein	2	2	0	2	2221	0.001306165	0.04830336
1001451	kr domain-containing protein	8	8	0	2	1618;1669;1792	0.000257308	0.01411676
1001450	histidine kinase	2	2	0	2	1153	0.002941176	0.141594
1001449	rna polymerase sigma factor	2	2	0	2	133	0.006906077	0.1868613
1001448	4-alpha-glucanotransferase	2	2	0	2	592	0.001651255	0.09120326
1001446	glycogen debranching enzyme glgx	2	2	0	2	892	0.001578283	0.1061068
1001445	pas sensor protein	3	3	0	2	175	0.001493429	0.005674944
1001443	murr/rpir family transcriptional regulator	2	2	0	2	112	0.003930818	0.08535499
1001442	atp-binding protein	2	2	0	2	49	0.008012821	0.09445129
1001441	atp-binding protein	2	2	0	2	244	0.005952381	0.1057025
1001440	1,4-beta-xylanase	2	2	0	2	46	0.002711497	0.09841693
1001439	helix-turn-helix transcriptional regulator	16	16	0	2	574	0.000993641	0.00300067
1001432	peptidase	11	11	1	2	223;232;76	0.00254065	0.002061258
1001430	dna-binding response regulator	7	7	0	2	472;484;493	0.004295533	0.02470297
1001428	pucr family transcriptional regulator	2	2	0	2	178	0.002873563	0.04595394
1001422	hypothetical protein	2	2	0	2	181	0.01008065	0.1310557
1001421	hypothetical protein	2	2	0	2	76	0.01213592	0.08789187
1001416	hypothetical protein	2	2	0	2	40	0.002834467	0.02576116
1001415	hypothetical protein	3	3	0	2	664	0.001511487	0.01825009
1001414	pas domain s-box protein	2	2	0	2	70	0.0029274	0.06603791
1001409	viomycin phosphotransferase	2	2	0	2	157	0.004355401	0.4993764
1001408	squalene--hopene cyclase	2	2	0	2	52	0.001929012	0.04047425
1001406	helix-turn-helix domain-containing protein	2	2	0	2	196;442	0.008012821	0.4994204
1001405	hypothetical protein	2	2	0	2	145	0.005319149	0.07540224
1001404	caspase family protein	3	3	0	2	646	0.001660027	0.005894232
1001400	atp-binding protein	2	2	0	2	163	0.00672043	0.1606113
1001398	is630 family transposase	2	2	0	2	253	0.006188119	0.4993907
1001397	dihydroxy-acid dehydratase	3	3	0	2	790	0.002090301	0.006565328
1001396	transcriptional regulator	4	4	0	2	538	0.002969121	0.06816616
1001391	mbl fold metallo-hydrolase	2	2	0	2	271	0.002637131	0.05631183
1001390	hypothetical protein	2	2	0	2	364	0.004019293	0.082922
1001389	xre family transcriptional regulator	2	2	0	2	244	0.003004808	0.07023238
1001388	hypothetical protein	2	2	0	2	1036	0.003351206	0.4994204
1001387	hypothetical protein	2	2	0	2	520	0.004578755	0.04745339
1001385	is3 family transposase	2	2	0	2	775	0.003125	0.3081832
1001384	atp-binding protein	2	2	0	2	67	0.00984252	0.1041846
1001381	dna-binding response regulator	2	2	0	2	175	0.006944444	0.1197209
1001380	hypothetical protein	2	2	0	2	283	0.002906977	0.4314684
1001379	hypothetical protein	2	2	0	2	154;421;946	0.003930818	0.4994204
1001378	hypothetical protein	2	2	0	2	142	0.002893519	0.03080769
1001376	duf4239 domain-containing protein	2	2	0	2	55	0.005040323	0.03123519
1001374	hypothetical protein	2	2	0	2	1231	0.00216263	0.2364735
1001372	non-ribosomal peptide synthetase	32	32	2	2	20464	0.000113574	0.001219262
1001368	atp-binding protein	2	2	0	2	274	0.007763975	0.1895614
1001359	lysr family transcriptional regulator	2	2	0	2	292	0.00390625	0.02639097
1001349	hypothetical protein	2	2	0	2	43	0.003101737	0.1636985
1001348	hypothetical protein	2	2	0	2	64	0.004448399	0.1533437
1001347	hypothetical protein	2	2	0	2	244	0.00331565	0.05905845
